date,nav,change_pct
2024-03-22,0.75,-1.17
2024-03-25,0.7349,-2.01
2024-03-26,0.73,-0.67
2024-03-27,0.716,-1.92
2024-03-28,0.7289,1.8
2024-03-29,0.7381,1.26
2024-04-01,0.7489,1.46
2024-04-02,0.7423,-0.88
2024-04-03,0.7413,-0.13
2024-04-08,0.7339,-1.0
2024-04-09,0.736,0.29
2024-04-10,0.7289,-0.96
2024-04-11,0.7304,0.21
2024-04-12,0.7324,0.27
2024-04-15,0.737,0.63
2024-04-16,0.7216,-2.09
2024-04-17,0.7393,2.45
2024-04-18,0.7398,0.07
2024-04-19,0.7371,-0.36
2024-04-22,0.732,-0.69
2024-04-23,0.7235,-1.16
2024-04-24,0.7321,1.19
2024-04-25,0.7284,-0.51
2024-04-26,0.7376,1.26
2024-04-29,0.7425,0.66
2024-04-30,0.7359,-0.89
2024-05-06,0.7431,0.98
2024-05-07,0.7445,0.19
2024-05-08,0.7375,-0.94
2024-05-09,0.746,1.15
2024-05-10,0.7462,0.03
2024-05-13,0.7479,0.23
2024-05-14,0.7486,0.09
2024-05-15,0.7399,-1.16
2024-05-16,0.7372,-0.36
2024-05-17,0.7403,0.42
2024-05-20,0.7483,1.08
2024-05-21,0.7421,-0.83
2024-05-22,0.7399,-0.3
2024-05-23,0.7303,-1.3
2024-05-24,0.7263,-0.55
2024-05-27,0.7365,1.4
2024-05-28,0.7359,-0.08
2024-05-29,0.737,0.15
2024-05-30,0.7381,0.15
2024-05-31,0.7397,0.22
2024-06-03,0.7379,-0.24
2024-06-04,0.7452,0.99
2024-06-05,0.7356,-1.29
2024-06-06,0.7312,-0.6
2024-06-07,0.7305,-0.1
2024-06-11,0.7368,0.86
2024-06-12,0.7385,0.23
2024-06-13,0.7415,0.41
2024-06-14,0.7419,0.05
2024-06-17,0.7456,0.5
2024-06-18,0.7509,0.71
2024-06-19,0.7432,-1.03
2024-06-20,0.7388,-0.59
2024-06-21,0.7404,0.22
2024-06-24,0.7242,-2.19
2024-06-25,0.7139,-1.42
2024-06-26,0.7251,1.57
2024-06-27,0.7137,-1.57
2024-06-28,0.7272,1.89
2024-06-30,0.7272,0.0
2024-07-01,0.7276,0.06
2024-07-02,0.7176,-1.37
2024-07-03,0.713,-0.64
2024-07-04,0.7056,-1.04
2024-07-05,0.7093,0.52
2024-07-08,0.7042,-0.72
2024-07-09,0.7213,2.43
2024-07-10,0.7189,-0.33
2024-07-11,0.7289,1.39
2024-07-12,0.7246,-0.59
2024-07-15,0.7241,-0.07
2024-07-16,0.7361,1.66
2024-07-17,0.7233,-1.74
2024-07-18,0.7276,0.59
2024-07-19,0.7305,0.4
2024-07-22,0.7304,-0.01
2024-07-23,0.7091,-2.92
2024-07-24,0.7071,-0.28
2024-07-25,0.7025,-0.65
2024-07-26,0.7104,1.12
2024-07-29,0.7095,-0.13
2024-07-30,0.7101,0.08
2024-07-31,0.7264,2.3
2024-08-01,0.7273,0.12
2024-08-02,0.719,-1.14
2024-08-05,0.701,-2.5
2024-08-06,0.705,0.57
2024-08-07,0.7063,0.18
2024-08-08,0.7011,-0.74
2024-08-09,0.6997,-0.2
2024-08-12,0.6967,-0.43
2024-08-13,0.7011,0.63
2024-08-14,0.6949,-0.88
2024-08-15,0.6966,0.24
2024-08-16,0.6912,-0.78
2024-08-19,0.692,0.12
2024-08-20,0.6831,-1.29
2024-08-21,0.6806,-0.37
2024-08-22,0.6761,-0.66
2024-08-23,0.6756,-0.07
2024-08-26,0.6733,-0.34
2024-08-27,0.6652,-1.2
2024-08-28,0.6639,-0.2
2024-08-29,0.6706,1.01
2024-08-30,0.6809,1.54
2024-09-02,0.6691,-1.73
2024-09-03,0.6758,1.0
2024-09-04,0.6746,-0.18
2024-09-05,0.6776,0.44
2024-09-06,0.6691,-1.25
2024-09-09,0.6664,-0.4
2024-09-10,0.6677,0.2
2024-09-11,0.6703,0.39
2024-09-12,0.6692,-0.16
2024-09-13,0.6654,-0.57
2024-09-18,0.6676,0.33
2024-09-19,0.6726,0.75
2024-09-20,0.6722,-0.06
2024-09-23,0.6698,-0.36
2024-09-24,0.6896,2.96
2024-09-25,0.6916,0.29
2024-09-26,0.7112,2.83
2024-09-27,0.744,4.61
2024-09-30,0.8114,9.06
2024-10-08,0.8739,7.7
2024-10-09,0.8299,-5.03
2024-10-10,0.8212,-1.05
2024-10-11,0.7916,-3.6
2024-10-14,0.8166,3.16
2024-10-15,0.8008,-1.93
2024-10-16,0.7981,-0.34
2024-10-17,0.8017,0.45
2024-10-18,0.8348,4.13
2024-10-21,0.8538,2.28
2024-10-22,0.8569,0.36
2024-10-23,0.8642,0.85
2024-10-24,0.8526,-1.34
2024-10-25,0.8669,1.68
2024-10-28,0.8734,0.75
2024-10-29,0.8618,-1.33
2024-10-30,0.8607,-0.13
2024-10-31,0.8676,0.8
2024-11-01,0.8518,-1.82
2024-11-04,0.8673,1.82
2024-11-05,0.8925,2.91
2024-11-06,0.8932,0.08
2024-11-07,0.9006,0.83
2024-11-08,0.907,0.71
2024-11-11,0.9305,2.59
2024-11-12,0.9153,-1.63
2024-11-13,0.9145,-0.09
2024-11-14,0.8888,-2.81
2024-11-15,0.8679,-2.35
2024-11-18,0.8531,-1.71
2024-11-19,0.8678,1.72
2024-11-20,0.8742,0.74
2024-11-21,0.8735,-0.08
2024-11-22,0.8497,-2.72
2024-11-25,0.8506,0.11
2024-11-26,0.8457,-0.58
2024-11-27,0.8646,2.23
2024-11-28,0.8569,-0.89
2024-11-29,0.8665,1.12
2024-12-02,0.8779,1.32
2024-12-03,0.8736,-0.49
2024-12-04,0.8626,-1.26
2024-12-05,0.8672,0.53
2024-12-06,0.8713,0.47
2024-12-09,0.8688,-0.29
2024-12-10,0.8775,1.0
2024-12-11,0.8841,0.75
2024-12-12,0.8892,0.58
2024-12-13,0.8744,-1.66
2024-12-16,0.8592,-1.74
2024-12-17,0.8485,-1.25
2024-12-18,0.8549,0.75
2024-12-19,0.8592,0.5
2024-12-20,0.8638,0.54
2024-12-23,0.8444,-2.25
2024-12-24,0.856,1.37
2024-12-25,0.8482,-0.91
2024-12-26,0.8575,1.1
2024-12-27,0.8555,-0.23
2024-12-30,0.8505,-0.58
